Entry	Entry name	Gene names  (ordered locus )	Gene names	Length	Absorption	Active site	Activity regulation	Binding site	Calcium binding	Catalytic activity	Cofactor	DNA binding	Metal binding	Nucleotide binding	Site	Motif
P16661	ALG1_YEAST	YBR110W	ALG1 YBR110W YBR0906	449						CATALYTIC ACTIVITY: Reaction=GDP-alpha-D-mannose + N,N'-diacetylchitobiosyl diphosphodolichol = beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + GDP + H(+); Xref=Rhea:RHEA:13865, Rhea:RHEA-COMP:9520, Rhea:RHEA-COMP:11044, ChEBI:CHEBI:15378, ChEBI:CHEBI:57269, ChEBI:CHEBI:57527, ChEBI:CHEBI:58189, ChEBI:CHEBI:58472; EC=2.4.1.142;						MOTIF 21 32 Dolichol recognition. {ECO:0000255}.
Q03654	CEF1_YEAST	YMR213W	CEF1 NTC85 YMR213W YM8261.07	590								DNA_BIND 33 56 H-T-H motif. {ECO:0000255|PROSITE-ProRule:PRU00625}.; DNA_BIND 84 106 H-T-H motif. {ECO:0000255|PROSITE-ProRule:PRU00625}.				
P38265	CENPL_YEAST	YBR107C	IML3 MCM19 YBR107C YBR0836	245												
P40416	ATM1_YEAST	YMR301C	ATM1 MDY YMR301C YM9952.03C	690				BINDING 393 393 Glutathione; via amide nitrogen. {ECO:0000250}.; BINDING 445 445 ATP. {ECO:0000250}.						NP_BIND 469 480 ATP. {ECO:0000255|PROSITE-ProRule:PRU00434}.		
Q03957	CTK1_YEAST	YKL139W	CTK1 YKL139W	528		ACT_SITE 306 306 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.		BINDING 212 212 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=[DNA-directed RNA polymerase] + ATP = ADP + H(+) + phospho-[DNA-directed RNA polymerase]; Xref=Rhea:RHEA:10216, Rhea:RHEA-COMP:11321, Rhea:RHEA-COMP:11322, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43176, ChEBI:CHEBI:68546, ChEBI:CHEBI:456216; EC=2.7.11.23;				NP_BIND 189 197 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		MOTIF 37 44 Nuclear localization signal. {ECO:0000255}.
Q08032	CDC45_YEAST	YLR103C	CDC45 SLD4 YLR103C L8004.11	650												
Q12140	BSC1_YEAST	YDL037C	BSC1 YDL037C D2734	328												
P53841	BSC4_YEAST	YNL269W	BSC4 YNL269W N0670	131												
P60010	ACT_YEAST	YFL039C	ACT1 ABY1 END7 YFL039C	375											SITE 73 73 Not methylated. {ECO:0000269|PubMed:10496983}.	
Q12018	CDC53_YEAST	YDL132W	CDC53 YDL132W D2190	815												
P38077	ATPG_YEAST	YBR039W	ATP3 ATP3a ATP3b YBR039W YBR0408	311												
P47177	2NDP_YEAST	YJR149W	YJR149W J2213	404		ACT_SITE 224 224 Proton acceptor. {ECO:0000255}.		BINDING 224 224 Substrate. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=ethylnitronate + O2 = acetaldehyde + chemical entity + H(+) + nitrite; Xref=Rhea:RHEA:28767, ChEBI:CHEBI:15343, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16301, ChEBI:CHEBI:24431, ChEBI:CHEBI:77894; EC=1.13.12.16;	COFACTOR: Name=FMN; Xref=ChEBI:CHEBI:58210; Evidence={ECO:0000250};  Note=Binds 1 FMN per subunit. {ECO:0000250};			NP_BIND 41 43 FMN. {ECO:0000250}.; NP_BIND 270 272 FMN. {ECO:0000250}.; NP_BIND 293 294 FMN. {ECO:0000250}.		
P38356	BSD2_YEAST	YBR290W	BSD2 YBR290W YBR2037	321												
P29311	BMH1_YEAST	YER177W	BMH1 YER177W	267												
P40450	BNR1_YEAST	YIL159W	BNR1 YIL159W	1375												
P06243	CDC7_YEAST	YDL017W	CDC7 OAF2 YDL017W D2855	507		ACT_SITE 163 163 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.		BINDING 76 76 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; 			NP_BIND 39 47 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
Q9ZZX0	AI5B_YEAST	Q0075	AI5_BETA Q0075	354												
P50277	BIOA_YEAST	YNR058W	BIO3 YNR058W N3510	480				BINDING 26 26 7-keto-8-aminopelargonic acid. {ECO:0000250}.; BINDING 270 270 Pyridoxal phosphate. {ECO:0000250}.; BINDING 314 314 7-keto-8-aminopelargonic acid. {ECO:0000250}.; BINDING 350 350 7-keto-8-aminopelargonic acid; via carbonyl oxygen. {ECO:0000250}.; BINDING 352 352 Pyridoxal phosphate. {ECO:0000250}.; BINDING 441 441 7-keto-8-aminopelargonic acid. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=8-amino-7-oxononanoate + S-adenosyl-L-methionine = 7,8-diaminononanoate + S-adenosyl-4-methylsulfanyl-2-oxobutanoate; Xref=Rhea:RHEA:16861, ChEBI:CHEBI:16490, ChEBI:CHEBI:57532, ChEBI:CHEBI:58500, ChEBI:CHEBI:59789; EC=2.6.1.62;	COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000250}; 					
P08521	AAP_YEAST	YOR302W	YOR302W	25												
P32316	ACH1_YEAST	YBL015W	ACH1 YBL015W YBL03.18 YBL0304	526		ACT_SITE 302 302 5-glutamyl coenzyme A thioester intermediate. {ECO:0000250|UniProtKB:B3EY95}.		BINDING 392 392 Coenzyme A. {ECO:0000250|UniProtKB:B3EY95}.; BINDING 396 396 Coenzyme A; via amide nitrogen. {ECO:0000250|UniProtKB:B3EY95}.		CATALYTIC ACTIVITY: Reaction=acetyl-CoA + H2O = acetate + CoA + H(+); Xref=Rhea:RHEA:20289, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30089, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288; EC=3.1.2.1;						
Q3E829	CENPX_YEAST	YDL160C-A	MHF2 YDL160C-A	80												
Q00362	2ABA_YEAST	YGL190C	CDC55 YGL190C G1345	526												
Q08236	AVO1_YEAST	YOL078W	AVO1 YOL078W O1110	1176												
P53959	COG6_YEAST	YNL041C	COG6 COD2 SEC37 TFI2 YNL041C N2675	839												
P53727	BUD17_YEAST	YNR027W	BUD17 YNR027W N3250	317				BINDING 16 16 Substrate. {ECO:0000250}.; BINDING 128 128 Substrate. {ECO:0000250}.; BINDING 233 233 Substrate. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=ATP + pyridoxal = ADP + H(+) + pyridoxal 5'-phosphate; Xref=Rhea:RHEA:10224, ChEBI:CHEBI:15378, ChEBI:CHEBI:17310, ChEBI:CHEBI:30616, ChEBI:CHEBI:456216, ChEBI:CHEBI:597326; EC=2.7.1.35;	COFACTOR: Name=a divalent metal cation; Xref=ChEBI:CHEBI:60240; Evidence={ECO:0000250}; 			NP_BIND 190 191 ATP. {ECO:0000250}.; NP_BIND 220 232 ATP. {ECO:0000250}.		
Q08492	BUD21_YEAST	YOR078W	BUD21 UTP16 YOR078W YOR29-29	214												
P43634	CHA4_YEAST	YLR098C	CHA4 SIL2 SIL3 YLR098C L8004.8	648								DNA_BIND 44 70 Zn(2)-C6 fungal-type. {ECO:0000255|PROSITE-ProRule:PRU00227}.				
P50076	ALG10_YEAST	YGR227W	DIE2 ALG10 YGR227W G8547	525						CATALYTIC ACTIVITY: Reaction=alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl beta-D-glucosyl phosphate = alpha-D-Glc-(1->2)-alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl phosphate + H(+); Xref=Rhea:RHEA:29543, Rhea:RHEA-COMP:9517, Rhea:RHEA-COMP:9528, Rhea:RHEA-COMP:12633, Rhea:RHEA-COMP:12634, ChEBI:CHEBI:15378, ChEBI:CHEBI:57525, ChEBI:CHEBI:57683, ChEBI:CHEBI:132522, ChEBI:CHEBI:132523; EC=2.4.1.256; Evidence={ECO:0000269|PubMed:9597543};						
P41815	BAP3_YEAST	YDR046C	BAP3 PAP1 YDR046C YD9609.02C	604												
P53197	CDH1_YEAST	YGL003C	CDH1 HCT1 YGL003C	566												MOTIF 55 61 C-box.
P40493	BMT5_YEAST	YIL096C	BMT5 YIL096C	336						CATALYTIC ACTIVITY: Reaction=S-adenosyl-L-methionine + uridine(2634) in 25S rRNA = H(+) + N(3)-methyluridine(2634) in 25S rRNA + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:43188, Rhea:RHEA-COMP:10395, Rhea:RHEA-COMP:10396, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:65315, ChEBI:CHEBI:74502; EC=2.1.1.313; Evidence={ECO:0000269|PubMed:24335083};						
Q12406	ARP7_YEAST	YPR034W	ARP7 SWP61 YPR034W YP9367.14	477												
P40471	AYR1_YEAST	YIL124W	AYR1 YIL124W	297		ACT_SITE 157 157 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU10001}.	ACTIVITY REGULATION: Inhibited by divalent cations and N-ethylmaleimide. Activity is reduced under anaerobic growth conditions. {ECO:0000269|PubMed:1512203}.	BINDING 144 144 Substrate. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=1-hexadecanoyl-sn-glycero-3-phosphate + NADP(+) = 1-hexadecanoylglycerone 3-phosphate + H(+) + NADPH; Xref=Rhea:RHEA:17341, ChEBI:CHEBI:15378, ChEBI:CHEBI:57518, ChEBI:CHEBI:57783, ChEBI:CHEBI:58303, ChEBI:CHEBI:58349; EC=1.1.1.101;				NP_BIND 13 37 NAD or NADP. {ECO:0000250}.		
Q12476	AIR2_YEAST	YDL175C	AIR2 YDL175C	344												
P41696	AZF1_YEAST	YOR113W	AZF1 YOR113W O3244 YOR3244W	914												
Q12186	BBP_YEAST	YLR116W	MSL5 BBP SF1 YLR116W L2949	476												
P38242	ALG14_YEAST	YBR070C	ALG14 YBR070C YBR0711	237												
P32317	AFG1_YEAST	YEL052W	AFG1 AFG YEL052W	509										NP_BIND 126 133 ATP. {ECO:0000255}.		
P38884	AIM18_YEAST	YHR198C	AIM18 FMP22 YHR198C	321												
P53630	BIOD_YEAST	YNR057C	BIO4 YNR057C N3506	237						CATALYTIC ACTIVITY: Reaction=7,8-diaminononanoate + ATP + CO2 = ADP + dethiobiotin + 3 H(+) + phosphate; Xref=Rhea:RHEA:15805, ChEBI:CHEBI:15378, ChEBI:CHEBI:16526, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:57861, ChEBI:CHEBI:58500, ChEBI:CHEBI:456216; EC=6.3.3.3;	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; 			NP_BIND 18 26 ATP. {ECO:0000250}.		
P40202	CCS1_YEAST	YMR038C	CCS1 LYS7 YMR038C YM9532.03C	249							COFACTOR: Name=Cu(2+); Xref=ChEBI:CHEBI:29036; Evidence={ECO:0000255|PROSITE-ProRule:PRU00280};  Note=Binds 2 copper ions per subunit. {ECO:0000255|PROSITE-ProRule:PRU00280};		METAL 16 16 Zinc; shared with apo-SOD1. {ECO:0000244|PDB:1JK9, ECO:0000255|PROSITE-ProRule:PRU00280, ECO:0000269|PubMed:11524675}.; METAL 17 17 Copper 1. {ECO:0000255|PROSITE-ProRule:PRU00280}.; METAL 20 20 Copper 1. {ECO:0000255|PROSITE-ProRule:PRU00280}.; METAL 229 229 Copper 2. {ECO:0000255|PROSITE-ProRule:PRU00280}.; METAL 231 231 Copper 2. {ECO:0000255|PROSITE-ProRule:PRU00280}.			
P24813	AP2_YEAST	YDR423C	CAD1 YAP2 YDR423C D9461.12	409												MOTIF 17 24 Bipartite nuclear localization signal. {ECO:0000255|PROSITE-ProRule:PRU00768}.; MOTIF 47 54 Bipartite nuclear localization signal. {ECO:0000255|PROSITE-ProRule:PRU00768}.; MOTIF 372 379 Nuclear export signal. {ECO:0000250|UniProtKB:P19880}.
Q08923	CTI6_YEAST	YPL181W	CTI6 RXT1 YPL181W	506												
P41832	BNI1_YEAST	YNL271C	BNI1 PPF3 SHE5 YNL271C N0646	1953												
P38226	CST26_YEAST	YBR042C	CST26 YBR042C YBR0412	397												MOTIF 112 117 HXXXXD motif.
P39925	AFG3_YEAST	YER017C	AFG3 YTA10 YER017C	761		ACT_SITE 559 559 {ECO:0000250|UniProtKB:Q9WZ49}.					COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000305};  Note=Binds 1 zinc ion per subunit. {ECO:0000305};		METAL 558 558 Zinc; catalytic. {ECO:0000250|UniProtKB:Q9WZ49}.; METAL 562 562 Zinc; catalytic. {ECO:0000250|UniProtKB:Q9WZ49}.; METAL 634 634 Zinc; catalytic. {ECO:0000250|UniProtKB:Q9WZ49}.	NP_BIND 328 335 ATP. {ECO:0000255}.		
P53858	BNI4_YEAST	YNL233W	BNI4 YNL233W N1146	892												
P53890	BNI5_YEAST	YNL166C	BNI5 YNL166C N1706	448												
Q99222	AFI1_YEAST	YOR129C	AFI1 YOR129C YOR3296C	893												
P48237	CCM1_YEAST	YGR150C	CCM1 DMR1 RRG2 YGR150C G6642	864												
P07248	ADR1_YEAST	YDR216W	ADR1 YDR216W YD8142.16 YD8142B.08	1323												
P43636	ALG2_YEAST	YGL065C	ALG2 YGL065C	503						CATALYTIC ACTIVITY: Reaction=beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + GDP-alpha-D-mannose = alpha-D-Man-(1->3)-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + GDP + H(+); Xref=Rhea:RHEA:29515, Rhea:RHEA-COMP:11044, Rhea:RHEA-COMP:12624, ChEBI:CHEBI:15378, ChEBI:CHEBI:57527, ChEBI:CHEBI:58189, ChEBI:CHEBI:58472, ChEBI:CHEBI:132510; EC=2.4.1.132; Evidence={ECO:0000269|PubMed:16878994}; CATALYTIC ACTIVITY: Reaction=alpha-D-Man-(1->3)-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + GDP-alpha-D-mannose = alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + GDP + H(+); Xref=Rhea:RHEA:29519, Rhea:RHEA-COMP:12624, Rhea:RHEA-COMP:12626, ChEBI:CHEBI:15378, ChEBI:CHEBI:57527, ChEBI:CHEBI:58189, ChEBI:CHEBI:132510, ChEBI:CHEBI:132511; EC=2.4.1.257; Evidence={ECO:0000269|PubMed:16878994};						
P25613	ADY2_YEAST	YCR010C	ADY2 ATO1 YCR010C YCR10C	283												
Q07732	ADY3_YEAST	YDL239C	ADY3 YDL239C	790												
P40563	AIM21_YEAST	YIR003W	AIM21 YIR003W YIB3W	679												
P53755	BSC5_YEAST	YNR069C	BSC5 YNR069C N3555	489												
P25694	CDC48_YEAST	YDL126C	CDC48 YDL126C	835			ACTIVITY REGULATION: The first ATP-binding region has low ATPase activity (By similarity). The second ATP-binding region is responsible for ATPase activity (By similarity). ATP binding to the first ATP-binding region induces intrinsic activity of the second ATP-binding region (PubMed:21454554). While ATP binding to the first ATP-binding region appears to prevent ATP hydrolysis by the second ATP-binding region, ADP-binding to first region promotes the coordinate and cooperative ATPase cycle of the second ATP-binding region (By similarity). ATP binding to the first ATP-binding region induces a conformational change, promoting the rotation of the first ATP-binding region relative to the second ATP-binding region in the hexamer (By similarity). {ECO:0000250|UniProtKB:P54811, ECO:0000269|PubMed:21454554}.	BINDING 358 358 ATP 1. {ECO:0000250|UniProtKB:P55072}.; BINDING 394 394 ATP 1. {ECO:0000250|UniProtKB:P55072}.		CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + H(+) + phosphate; Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=3.6.4.6; Evidence={ECO:0000269|PubMed:21454554};				NP_BIND 257 263 ATP 1. {ECO:0000250|UniProtKB:P55072}.; NP_BIND 531 536 ATP 2. {ECO:0000250|UniProtKB:Q01853}.		
P29589	AHT1_YEAST	YHR093W	AHT1 YHR093W	182												
P46682	AP3B_YEAST	YGR261C	APL6 YKS5 YGR261C G9331	809												
P38080	AKL1_YEAST	YBR059C	AKL1 YBR059C YBR0519	1108		ACT_SITE 181 181 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.		BINDING 70 70 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;				NP_BIND 41 49 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
Q08361	AAD15_YEAST	YOL165C	AAD15 YOL165C	143												
P38813	BIG1_YEAST	YHR101C	BIG1 YHR101C	335												
P47182	AAD10_YEAST	YJR155W	AAD10 YJR155W J2245	288												
P36154	AIM29_YEAST	YKR074W	AIM29 YKR074W	155												
Q01532	BLH1_YEAST	YNL239W	LAP3 BLH1 GAL6 YCP1 YNL239W N1118	483		ACT_SITE 102 102; ACT_SITE 398 398; ACT_SITE 421 421	ACTIVITY REGULATION: Inhibited by E64, a specific inhibitor of cysteine proteases, N-ethylmaleimide, iodacetamide, and mercury and zinc ions. {ECO:0000269|PubMed:1400467, ECO:0000269|PubMed:8463237}.			CATALYTIC ACTIVITY: Reaction=Inactivates bleomycin B2 (a cytotoxic glycometallopeptide) by hydrolysis of a carboxyamide bond of beta-aminoalanine, but also shows general aminopeptidase activity. The specificity varies somewhat with source, but amino acid arylamides of Met, Leu and Ala are preferred.; EC=3.4.22.40;						
Q04413	API2_YEAST	YDR525W	API2 YDR525W	109												
Q12184	ADRX_YEAST	YPL252C	YAH1 YPL252C	172							COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:49601; Evidence={ECO:0000250};  Note=Binds 1 [2Fe-2S] cluster. {ECO:0000250};		METAL 98 98 Iron-sulfur (2Fe-2S). {ECO:0000255|PROSITE-ProRule:PRU00465}.; METAL 104 104 Iron-sulfur (2Fe-2S). {ECO:0000255|PROSITE-ProRule:PRU00465}.; METAL 107 107 Iron-sulfur (2Fe-2S). {ECO:0000255|PROSITE-ProRule:PRU00465}.; METAL 144 144 Iron-sulfur (2Fe-2S). {ECO:0000255|PROSITE-ProRule:PRU00465}.			
P07249	ARGR1_YEAST	YMR042W	ARG80 ARGR1 YMR042W YM9532.07	177												
P53836	CA120_YEAST	YNL278W	CAF120 YNL278W N0610	1060												
P24869	CG22_YEAST	YPR119W	CLB2 YPR119W P9642.6	491												
Q12365	BBP1_YEAST	YPL255W	BBP1 YPL255W P0745	385												
P47977	CTH2_YEAST	YLR136C	TIS11 CTH2 YLR136C L3143 L9606.12	285												
Q04894	ADH6_YEAST	YMR318C	ADH6 YMR318C YM9924.10C	360				BINDING 215 215 NAD. {ECO:0000250}.; BINDING 348 348 NAD. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=a primary alcohol + NADP(+) = an aldehyde + H(+) + NADPH; Xref=Rhea:RHEA:15937, ChEBI:CHEBI:15378, ChEBI:CHEBI:15734, ChEBI:CHEBI:17478, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.1.1.2;	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250};  Note=Binds 2 Zn(2+) ions per subunit. {ECO:0000250};		METAL 46 46 Zinc 1; catalytic. {ECO:0000250}.; METAL 68 68 Zinc 1; catalytic. {ECO:0000250}.; METAL 100 100 Zinc 2. {ECO:0000250}.; METAL 103 103 Zinc 2. {ECO:0000250}.; METAL 106 106 Zinc 2. {ECO:0000250}.; METAL 114 114 Zinc 2. {ECO:0000250}.; METAL 163 163 Zinc 1; catalytic. {ECO:0000250}.	NP_BIND 187 192 NAD. {ECO:0000250}.; NP_BIND 275 277 NAD. {ECO:0000250}.		
D6W196	CMC1_YEAST	YNL083W	SAL1 YNL083W N2312	494					CA_BIND 59 70 1.; CA_BIND 93 104 2.; CA_BIND 155 166 3.							
Q12386	ARP8_YEAST	YOR141C	ARP8 YOR141C YOR3348C	881										NP_BIND 502 505 ATP. {ECO:0000250}.		
P32799	COX13_YEAST	YGL191W	COX13 YGL191W G1341	129						CATALYTIC ACTIVITY: Reaction=4 [Fe(II)cytochrome c] + 4 H(+) + O2 = 4 [Fe(III)cytochrome c] + 2 H2O; Xref=Rhea:RHEA:11436, Rhea:RHEA-COMP:10350, Rhea:RHEA-COMP:14399, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:29033, ChEBI:CHEBI:29034; EC=1.9.3.1;						
